Location,Day,Sale Hour,Sales $
489,2/2/21,0,12
489,2/2/21,1,5
489,2/2/21,5,12
489,2/2/21,6,3790
489,2/2/21,7,5639
489,2/2/21,8,6649
489,2/2/21,9,16379
489,2/2/21,10,14160
489,2/2/21,11,19960
489,2/2/21,12,17033
489,2/2/21,13,16998
489,2/2/21,14,19647
489,2/2/21,15,30423
489,2/2/21,16,23431
489,2/2/21,17,4707
489,2/2/21,18,6002
489,2/2/21,19,4169
489,2/2/21,20,2560
489,2/2/21,21,75
489,2/2/21,22,25
489,2/3/21,0,3
489,2/3/21,4,15
489,2/3/21,6,1718
489,2/3/21,7,5101
489,2/3/21,8,15245
489,2/3/21,9,7612
489,2/3/21,10,16110
489,2/3/21,11,18244
489,2/3/21,12,15066
489,2/3/21,13,2768
489,2/3/21,14,10565
489,2/3/21,15,7344
489,2/3/21,16,17524
489,2/3/21,17,17724
489,2/3/21,18,11390
489,2/3/21,19,480
489,2/3/21,20,3407
489,2/3/21,21,12
489,2/3/21,23,18
489,2/4/21,0,750
489,2/4/21,1,120
489,2/4/21,3,20
489,2/4/21,5,0
489,2/4/21,6,1575
489,2/4/21,7,11768
489,2/4/21,8,9385
489,2/4/21,9,27691
489,2/4/21,10,11193
489,2/4/21,11,11594
489,2/4/21,12,9846
489,2/4/21,13,23267
489,2/4/21,14,13526
489,2/4/21,15,12688
489,2/4/21,16,11657
489,2/4/21,17,9348
489,2/4/21,18,4262
489,2/4/21,19,3893
489,2/4/21,20,2193
489,2/4/21,21,73
489,2/5/21,0,13
489,2/5/21,3,22
489,2/5/21,6,8909
489,2/5/21,7,5867
489,2/5/21,8,5892
489,2/5/21,9,10598
489,2/5/21,10,15053
489,2/5/21,11,19357
489,2/5/21,12,13605
489,2/5/21,13,14129
489,2/5/21,14,22284
489,2/5/21,15,53607
489,2/5/21,16,58679
489,2/5/21,17,18489
489,2/5/21,18,34307
489,2/5/21,19,7545
489,2/5/21,20,4974
489,2/5/21,21,60
489,2/5/21,22,19
489,2/6/21,0,2
489,2/6/21,1,3
489,2/6/21,6,2538
489,2/6/21,7,2799
489,2/6/21,8,7681
489,2/6/21,9,11958
489,2/6/21,10,23743
489,2/6/21,11,25508
489,2/6/21,12,38484
489,2/6/21,13,28309
489,2/6/21,14,21571
489,2/6/21,15,16628
489,2/6/21,16,20017
489,2/6/21,17,9694
489,2/6/21,18,6778
489,2/6/21,19,3654
489,2/6/21,20,2663
489,2/6/21,21,3
489,2/6/21,23,44
489,2/7/21,4,28
489,2/7/21,5,4
489,2/7/21,7,839
489,2/7/21,8,2803
489,2/7/21,9,7633
489,2/7/21,10,7878
489,2/7/21,11,13599
489,2/7/21,12,13232
489,2/7/21,13,25148
489,2/7/21,14,19318
489,2/7/21,15,20063
489,2/7/21,16,12658
489,2/7/21,17,13503
